X,Y,Z,FID
30.42791655,-1.121249785,1293.765991,120
30.43624988,-1.121249785,495.7797546,121
30.44458321,-1.121249785,238.789917,122
30.45291655,-1.121249785,182.9621277,123
30.46124988,-1.121249785,108.7080917,124
30.46958321,-1.121249785,74.16140747,125
30.32791655,-1.129583118,104.9574203,126
30.33624988,-1.129583118,81.99295044,127
30.34458322,-1.129583118,152.4082336,128
30.35291655,-1.129583118,204.1729889,129
30.36124988,-1.129583118,206.5286255,130
30.36958322,-1.129583118,229.7654877,131
30.37791655,-1.129583118,253.9577484,132
30.38624988,-1.129583118,339.2200928,133
30.39458321,-1.129583118,357.0377502,134
30.40291655,-1.129583118,392.4286194,135
30.41124988,-1.129583118,513.3738403,136
30.41958321,-1.129583118,855.2998657,137
30.42791655,-1.129583118,573.7974243,138
30.43624988,-1.129583118,271.2743835,139
30.44458321,-1.129583118,196.9384766,140
30.45291655,-1.129583118,174.6964874,141
30.46124988,-1.129583118,145.3199921,142
30.46958321,-1.129583118,97.0348053,143
30.31124988,-1.137916451,231.0949402,144
30.31958322,-1.137916451,130.0952606,145
30.32791655,-1.137916451,84.93134308,146
30.33624988,-1.137916451,80.6546936,147
30.34458322,-1.137916451,185.0631866,148
30.35291655,-1.137916451,207.0295715,149
30.36124988,-1.137916451,217.0792694,150
30.36958322,-1.137916451,231.3996124,151
30.37791655,-1.137916451,257.4887695,152
30.38624988,-1.137916451,369.5073853,153
30.39458321,-1.137916451,393.2593994,154
30.40291655,-1.137916451,313.8667297,155
30.41124988,-1.137916451,425.32547,156
30.41958321,-1.137916451,296.1950073,157
30.42791655,-1.137916451,213.2887115,158
30.43624988,-1.137916451,207.2160797,159
30.44458321,-1.137916451,172.4179077,160
30.45291655,-1.137916451,147.1011353,161
30.46124988,-1.137916451,137.6414795,162
30.30291655,-1.146249785,194.8893585,163
30.31124988,-1.146249785,99.57182312,164
30.31958322,-1.146249785,109.8206711,165
30.32791655,-1.146249785,122.5158081,166
30.33624988,-1.146249785,88.27648926,167
30.34458322,-1.146249785,185.7119446,168
30.35291655,-1.146249785,205.452652,169
30.36124988,-1.146249785,221.2655029,170
30.36958322,-1.146249785,253.0858307,171
30.37791655,-1.146249785,257.2476196,172
30.38624988,-1.146249785,285.4100952,173
30.39458321,-1.146249785,286.0449829,174
30.40291655,-1.146249785,330.7896729,175
30.41124988,-1.146249785,361.0675049,176
30.41958321,-1.146249785,236.5110779,177
30.42791655,-1.146249785,189.0908813,178
30.43624988,-1.146249785,187.2163391,179
30.44458321,-1.146249785,154.5336151,180
30.45291655,-1.146249785,130.5999146,181
30.46124988,-1.146249785,133.5112305,182
30.30291655,-1.154583118,83.67048645,183
30.31124988,-1.154583118,82.14635468,184
30.31958322,-1.154583118,105.1741562,185
30.32791655,-1.154583118,117.2069702,186
30.33624988,-1.154583118,84.32746124,187
30.34458322,-1.154583118,153.6767426,188
30.35291655,-1.154583118,207.0139008,189
30.36124988,-1.154583118,221.6729584,190
30.36958322,-1.154583118,251.5735779,191
30.37791655,-1.154583118,252.0280457,192
30.38624988,-1.154583118,252.1994781,193
30.39458321,-1.154583118,294.3014526,194
30.40291655,-1.154583118,463.4549561,195
30.41124988,-1.154583118,407.2098083,196
30.41958321,-1.154583118,234.7904816,197
30.42791655,-1.154583118,183.8412628,198
30.43624988,-1.154583118,173.5098267,199
30.44458321,-1.154583118,149.9818726,200
30.45291655,-1.154583118,136.2047577,201
30.46124988,-1.154583118,126.8681107,202
30.30291655,-1.162916451,86.03897095,203
30.31124988,-1.162916451,82.18325806,204
30.31958322,-1.162916451,87.17835236,205
30.32791655,-1.162916451,87.14241028,206
30.33624988,-1.162916451,79.22815704,207
30.34458322,-1.162916451,149.3795013,208
30.35291655,-1.162916451,225.6600494,209
30.36124988,-1.162916451,253.6759644,210
30.36958322,-1.162916451,286.5604858,211
